	//5f
alone; sam
appearance; wygląd
believe in sb; wierzyć w kogoś
borrow; pożyczyć (od kogoś)
boss; szef
bully; osoba znęcająca się nad słabszymi
call sb names; wyzywać (przezywać) kogoś
fear; lęk
force; zmusić
make friends; zaprzyjaźnić się
petal; płatek
playground; plac zabaw
punch; uderzyć pięścią
slave; niewolnik
speak up; odważyć się wypowiedzieć
stamp; nadepnąć
stand up; powstać
stem; łodyga
stomach; brzuch, żołądek
tell lies; kłamać
weak; słaby
	//5g
a helping hand; pomocna dłoń
build a better future; stworzyć lepszą przyszłość
do one's best; postarać się
get through; przetrwać
have around; mieć w pobliżu
indeed; rzeczywiście, faktycznie
look out; uważać na
protect; chronić
safe and sound; zdrów i cały
stay alive; przeżyć
times of trouble; niespokojne czasy
troubles; kłopoty
