	//4c
astonished; zaskoczony
atmosphere; atmosfera
awake; rozbudzony
blow; wiać
break out; rozpętać (się)
cause; przyczyna
cloud; chmura
common; powszechny
drizzle; mżyć
dust; kurz
fiercely; mocno
float; unosić się
freeze; zamarzać
hardly; ledwie
howl; wyć
lose your balance; stracić równowagę
moonlight; światło księżyca
pour; (o deszczu) lać
rain; (o deszczu) padać
rare; rzadki
release; wypuścić, wyrzucić
scatter; rozpraszać
shine; świecić
suck up; wessać
thunderstorm; burza z piorunami
tornado; tornado
volcanic eruption; wybuch wulkanu
wind; wiatr
	//4d
cousin; kuzyn (-ka)
greenhouse; szklarnia, cieplarnia
information; informacje
never mind; nieważne
