	//5d
correct; prawda (poprawnie)
disappear; zniknąć
hand in; wręczyć
lab; laboratorium
locker; zamykana szafka
pocket money; kieszonkowe
possible; możliwy
purse; portmonetka
report; zgłosić
secretary; sekretarz, sekretarka
seem; zdawać się
	//5e
charity; organizacja charytatywna
comment; komentarz
customer; klient
decent; na przyzwoitym poziomie
deliver; roznosić
disabled; niepełnosprawny
donate; przekazać pieniądze
entry; hasło
experience; doświadczenie
free time; wolny czas
homeless; bezdomny
leaflet; ulotka
organisation; organizacja
positive; pozytywny
raise money; zbierać pieniądze
research; badania
second-hand; używany
shape; kształtować
society; społeczeństwo
support; wspierać
volunteer; wolontariusz
wisdom; mądrość
