// 4b
across; przez
along; wzdłuż
down; na dół
fancy dress party; bal przebierańców
hill; wzgórze
into; w, do
marry; poślubić
over; nad
past; obok, około
river; rzeka
shower; prysznic
tour; odbyć tournee po
towards; w kierunku, w stronę
tunnel; tunel
up; w górę
wallet; portfel
// 4c
as if; tak, jakby
boat ride; krótki rejs łódką
cartoon character; postać z kreskówki
castle; zamek
come to life; ożyć
dream of; marzyć o
food; jedzenie
forever; na zawsze
I couldn't believe my eyes.; Nie wierzyłem własnym oczom.
I just couldn't wait.; Po prostu nie mogłem się doczekać.
incredible; niewiarygodny
look like; wyglądać jak
luck; szczęście
magic; magiczny
market place; rynek, targ
merry-go-round; karuzela
non-stop; nieustannie
pirate ship; statek piracki
scary; straszny, przerażający
scream; krzyczeć
trip; wycieczka
win; wygrać
believe; wierzyć
fairytale; bajka
greet; witać
guest; gość
cowboy; kowboj / kowbojski
ride; przejażdżka
haunted hause; nawiedzony dom
roller coaster; kolejka górska
speed; prędkość
exhausted; wyczerpany
hold my breath; wstrzymać oddech
