// 4d
Are you free?; Czy masz czas?
decoration; dekoracja
How about...?; A może...?
I'm afraid...; Obawiam się, że...
instead; zamiast
shopping centre; centrum handlowe
// 4e
regatta; regaty
wet; mokry
challenge; wyzwanie
crowd; tłum
finish line; linia mety
race; wyścig, ścigać się
competitors; zawodnicy
pumpkin; dynia
bathtub; wanna
boat; łódź
// 4f
building; budynek, budowla
bunch of grapes; kiść winogron
cartoon; kreskówka
coin; moneta
deeply; głęboko
geometry; geometria
god; bóg
meaning of life; sens życia
myth; mit
olive branch; gałązka oliwna
opera; opera
philosophy; filozofia
pot of honey; garnek miodu
story; historia, opowieść
tale; opowieść
temple; świątynia
tragedy; tragedia
urn; urna
vase; waza
worship; czcić
// 4g
agree; zgodzić się
alive; żywy
follow; przestrzegać
guide; przewodnik
influence; wpływ
pride; duma
survive; przetrwać, przeżyć
tradition; tradycja
